人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,入力者名,校正者名,状態,状態の開始日,底本名,出版社名,入力に使用した版,校正に使用した版
001257,"アーヴィング ワシントン",056078,"駅伝馬車",旧字旧仮名,"高垣 松雄","雀","小林繁雄",公開,2013-09-20,"スケッチ・ブック","岩波文庫、岩波書店","2010（平成22）年2月23日第31刷","1992（平成4）年2月26日第30刷"
001257,"アーヴィング ワシントン",056033,"クリスマス・イーヴ",旧字旧仮名,"高垣 松雄","雀","小林繁雄",公開,2013-08-08,"スケッチ・ブック","岩波文庫、岩波書店","2010（平成22）年2月23日第31刷","1937（昭和12）年5月30日第18刷"
001257,"アーヴィング ワシントン",046658,"スリーピー・ホローの伝説 故ディードリッヒ・ニッカボッカーの遺稿より",新字新仮名,"吉田 甲子太郎","鈴木厚司","砂場清隆",公開,2011-12-31,"スケッチ・ブック","新潮文庫、新潮社","2000（平成12）年2月20日33刷改版","2000（平成12）年 2月20日33刷改版"
001657,"アークム フレデリック",054333,"食品の混ぜ物処理および調理の毒物（1820）",新字新仮名,"水上 茂樹","","",公開,2011-11-21,"","","",""
001234,"愛知 敬一",046340,"ファラデーの伝 電気学の泰斗",新字新仮名,"","松本吉彦、松本庄八","小林繁雄",公開,2006-12-24,"ファラデーの傳","岩波書店","1923（大正12）年5月15日第1版","1923（大正12）年5月15日第1版"
001245,"会津 八一",046511,"一片の石",新字旧仮名,"","門田裕志","仙酔ゑびす",公開,2007-01-03,"日本の名随筆88　石","作品社","1996（平成8）年8月25日第5刷",""
001245,"会津 八一",046512,"菊の根分をしながら",新字旧仮名,"","門田裕志","仙酔ゑびす",公開,2007-01-03,"花の名随筆3　三月の花","作品社","1999（平成11）年2月10日初版第1刷",""
001245,"会津 八一",046513,"支那の明器",新字旧仮名,"","門田裕志","仙酔ゑびす",公開,2007-01-03,"日本の名随筆　別巻9　骨董","作品社","1999（平成11）年8月25日第6刷",""
001245,"会津 八一",046514,"拓本の話",旧字旧仮名,"","門田裕志","仙酔ゑびす",公開,2007-01-01,"日本の名随筆27　墨","作品社","1997（平成9）年5月20日第17刷",""
000374,"饗庭 篁村",047032,"隅田の春",新字旧仮名,"","斎藤由布子","noriko saito",公開,2008-08-02,"明治の文学　第13巻　饗庭篁村","筑摩書房","2003（平成15）年4月25日初版第1刷","2003（平成15）年4月25日初版第1刷"
000374,"饗庭 篁村",045754,"良夜",新字新仮名,"","高田農業高校生産技術科流通経済コース","小林繁雄",公開,2006-09-25,"新潟県文学全集　第1巻　明治編","郷土出版社","1995（平成7）年10月26日","1995（平成7）年10月26日"
000330,"青木 栄瞳",000900,"野性のセロリ",新字新仮名,"","長尾高弘","",公開,1998-02-26,"生原稿","","",""
001790,"青空文庫 ",056572,"青空文庫の提案",新字新仮名,"","青空文庫","青空文庫",公開,2014-01-01,"","","",""
001542,"青野 季吉",052214,"百万人のそして唯一人の文学",新字旧仮名,"","門田裕志","富田倫生",公開,2012-01-01,"現代日本文學大系　54　片上伸　平林初之輔　青野季吉　宮本顯治　藏原惟人集","筑摩書房","1987（昭和62）年11月30日初版第12刷発行","　"
001314,"青柳 喜兵衛",047604,"夢の如く出現した彼",新字新仮名,"","川山隆","伊藤時也",公開,2008-12-09,"「探偵」傑作選　幻の探偵雑誌9","光文社文庫、光文社","2002（平成14）年1月20日初版1刷","2002（平成14）年1月20日初版1刷"
001584,"秋田 雨雀",053182,"三人の百姓",新字新仮名,"","門田裕志","Juki",公開,2013-01-01,"日本児童文学名作集（下）","岩波文庫、岩波書店","2001（平成13）年5月7日第12刷","2000（平成12）年2月25日第10刷"
001162,"秋田 滋",043837,"ある自殺者の手記",新字新仮名,"秋田 滋","京都大学電子テクスト研究会入力班","京都大学電子テクスト研究会校正班",公開,2006-05-26,"モオパツサン短篇集　色ざんげ　他十篇","改造文庫、改造社出版","1937（昭和12）年5月20日","1937（昭和12）年5月20日"
001162,"秋田 滋",047074,"親ごころ",新字新仮名,"秋田 滋","京都大学電子テクスト研究会入力班","京都大学電子テクスト研究会校正班",公開,2010-08-21,"モオパツサン短篇集　初雪　他九篇","改造文庫、改造社出版","1937（昭和12）年10月15日","1937（昭和12）年10月15日"
001162,"秋田 滋",046405,"寡婦",新字新仮名,"秋田 滋","京都大学電子テクスト研究会入力班","京都大学電子テクスト研究会校正班",公開,2007-07-02,"モオパッサン短篇集　色ざんげ　他十篇","改造文庫、改造社出版","1937（昭和12）年5月20日","1937（昭和12）年5月20日"
001162,"秋田 滋",043651,"狂女",新字新仮名,"秋田 滋","京都大学電子テクスト研究会入力班","京都大学電子テクスト研究会校正班",公開,2005-03-14,"モオパツサン短篇集　初雪　他九篇","改造文庫、改造社出版","1937（昭和12）年10月15日",""
001162,"秋田 滋",047076,"狂人日記",新字新仮名,"秋田 滋","京都大学電子テクスト研究会入力班","京都大学電子テクスト研究会校正班",公開,2010-08-21,"墓場稼ぎの売笑婦","暁書房","1949（昭和24）年6月1日","1949（昭和24）年6月1日"
001162,"秋田 滋",043652,"墓",新字新仮名,"秋田 滋","京都大学電子テクスト研究会入力班","京都大学電子テクスト研究会校正班",公開,2005-03-14,"モオパツサン短篇集　初雪　他九篇","改造文庫、改造社出版","1937（昭和12）年10月15日",""
001162,"秋田 滋",043866,"初雪",新字新仮名,"秋田 滋","京都大学電子テクスト研究会入力班","京都大学電子テクスト研究会校正班",公開,2005-07-27,"モオパツサン短篇集　初雪　他九篇","改造文庫、改造社出版","1937（昭和12）年10月15日",""
001331,"秋月 種樹",048283,"南洲手抄言志録 02 南洲言志録手抄序",旧字旧仮名,"","田中哲郎","川山隆",公開,2008-08-12,"西郷南洲遺訓","岩波文庫、岩波書店","1985（昭和60）年2月20日第26刷","1996（平成8）年4月15日第41刷"
001331,"秋月 種樹",048284,"南洲手抄言志録 03 南洲手抄言志録",旧字旧仮名,"西郷 隆盛、山田 済斎","田中哲郎","川山隆",公開,2008-08-12,"西郷南洲遺訓","岩波文庫、岩波書店","1985（昭和60）年2月20日第26刷","1996（平成8）年4月15日第41刷"
000130,"秋野 平",000700,"ロック、70年代—復刻CDに時代を聴く",新字新仮名,"","浜野智","浜野智",公開,2000-01-10,"中日（東京）新聞日曜版1991年","","",""
000879,"芥川 竜之介",004872,"愛読書の印象",新字旧仮名,"","砂場清隆","高柳典子",公開,2006-03-27,"芥川龍之介全集　第一巻","岩波書店","1996（平成8）年4月8日","1996（平成8）年4月8日"
000879,"芥川 竜之介",000016,"秋",新字旧仮名,"","j.utiyama","野口英司",公開,1998-05-20,"現代日本文學大系　43　芥川龍之介集","筑摩書房","1968（昭和43）年8月25日初版第1刷",""
000879,"芥川 竜之介",000178,"芥川竜之介歌集",新字旧仮名,"","もりみつじゅんじ","本木まゆみ",公開,1999-07-18,"芥川龍之介全集　第一巻","岩波書店","",""
000879,"芥川 竜之介",000015,"アグニの神",新字旧仮名,"","j.utiyama","かとうかおり",公開,1998-12-11,"現代日本文學大系　43　芥川龍之介集","筑摩書房","1968（昭和43）年8月25日初版第1刷",""
000879,"芥川 竜之介",043014,"アグニの神",新字新仮名,"","蒋龍","noriko saito",公開,2005-02-06,"蜘蛛の糸・杜子春","新潮文庫、新潮社","1989（平成元）年5月30日46刷","2004（平成16）年6月5日67刷"
000879,"芥川 竜之介",003804,"悪魔",新字旧仮名,"","土屋隆","松永正敏",公開,2007-07-10,"筑摩全集類聚　芥川龍之介全集第四巻","筑摩書房","1979（昭和54）年4月10日初版第11刷",""
000879,"芥川 竜之介",000021,"浅草公園 或シナリオ",新字新仮名,"","j.utiyama","かとうかおり",公開,1999-02-01,"芥川龍之介全集6","ちくま文庫、筑摩書房","1993（平成5）年2月25日第6刷",""
000879,"芥川 竜之介",043361,"兄貴のような心持 ——菊池寛氏の印象——",新字新仮名,"","向井樹里","門田裕志",公開,2005-03-11,"大川の水・追憶・本所両国　現代日本のエッセイ","講談社文芸文庫、講談社","1995（平成7）年1月10日第1刷","1995（平成7）年1月10日第1刷"
000879,"芥川 竜之介",000017,"あの頃の自分の事",新字旧仮名,"","j.utiyama","小浜真由美",公開,1998-06-22,"現代日本文學大系　43　芥川龍之介集","筑摩書房","1968（昭和43）年8月25日初版第1刷",""
